Index,ID_UEV,Tract
57,01109248,0132.00
65,01109231,0132.00
83,01125593,0132.00
86,01109203,0132.00
92,01125583,0132.00
93,01109187,0132.00
98,01109185,0132.00
112,01109231,0132.00
115,01109163,0132.00
134,01125592,0132.00
149,01058607,0132.00
157,01125590,0132.00
159,01109192,0132.00
186,01125593,0132.00
190,01125592,0132.00
191,01109234,0132.00
192,01112951,0132.00
202,01109187,0132.00
208,01109208,0132.00
291,01109187,0132.00
296,01109166,0132.00
304,01109166,0132.00
312,01058613,0132.00
318,01125584,0132.00
321,01109163,0132.00
356,01109202,0132.00
358,01109212,0132.00
377,01109203,0132.00
382,01109234,0132.00
404,01001071,0132.00
413,01059132,0132.00
424,01059188,0132.00
470,01125588,0132.00
514,01109163,0132.00
531,01125589,0132.00
568,01125592,0132.00
599,01109163,0132.00
632,01109219,0132.00
656,01125589,0132.00
693,01109248,0132.00
712,01125590,0132.00
720,01109197,0132.00
731,01109208,0132.00
751,01109219,0132.00
759,01108582,0132.00
798,01109186,0132.00
813,01109197,0132.00
827,01125588,0132.00
830,01125589,0132.00
903,01125583,0132.00
904,01109219,0132.00
926,01126589,0132.00
34,01041806,0137.00
50,01028422,0137.00
72,01041690,0137.00
281,01041764,0137.00
389,01041666,0137.00
791,01041672,0137.00
852,01041780,0137.00
54,01028366,0138.00
73,01041739,0138.00
272,01028304,0138.00
299,01028340,0138.00
431,01028293,0138.00
452,01028249,0138.00
592,01028488,0138.00
598,01041711,0138.00
874,01028400,0138.00
910,05010289,0138.00
33,01015566,0139.00
55,01018200,0139.00
66,05001473,0139.00
113,01015428,0139.00
183,01014653,0139.00
226,01014495,0139.00
305,01015606,0139.00
396,01014263,0139.00
398,01014864,0139.00
425,01014215,0139.00
472,01013974,0139.00
544,01015337,0139.00
634,01120161,0139.00
670,01126934,0139.00
685,01014505,0139.00
794,05020133,0139.00
853,01041537,0139.00
859,05002600,0139.00
922,05125345,0139.00
977,05200123,0139.00
43,01130400,0140.00
46,01017106,0140.00
173,01016302,0140.00
222,01016288,0140.00
464,01017231,0140.00
473,01015963,0140.00
569,01016828,0140.00
717,01016840,0140.00
923,05082633,0140.00
19,01015913,0141.00
102,01017097,0141.00
131,05137502,0141.00
233,01018282,0141.00
261,01016792,0141.00
370,01016772,0141.00
427,01016938,0141.00
509,01016666,0141.00
837,01016217,0141.00
975,01041577,0141.00
22,01097353,0142.00
237,05023426,0142.00
619,01017193,0142.00
623,01041627,0142.00
679,01015829,0142.00
690,01015819,0142.00
714,01016530,0142.00
770,01017003,0142.00
868,01016397,0142.00
901,01015846,0142.00
938,01016157,0142.00
17,01018081,0146.00
161,01017505,0146.00
268,01017728,0146.00
467,01018088,0146.00
513,01123800,0146.00
602,01018142,0146.00
673,01017947,0146.00
703,01129382,0146.00
959,01017816,0146.00
30,01033787,0147.00
85,01029551,0147.00
127,01029595,0147.00
423,01029527,0147.00
718,05232701,0147.00
769,01033787,0147.00
935,01033924,0147.00
49,01032793,0155.00
64,01033153,0155.00
218,01034647,0155.00
246,01032802,0155.00
330,01034290,0155.00
383,01032158,0155.00
443,01033157,0155.00
525,01034471,0155.00
555,01033152,0155.00
591,01032362,0155.00
616,01032352,0155.00
654,01034660,0155.00
667,01034488,0155.00
711,01034654,0155.00
817,01112816,0155.00
870,01032560,0155.00
3,01030804,0156.00
136,01030972,0156.00
184,01030991,0156.00
234,01034346,0156.00
263,01030983,0156.00
286,01031675,0156.00
489,01031259,0156.00
542,01031554,0156.00
728,01034338,0156.00
866,01034464,0156.00
10,01029394,0157.00
139,01034439,0157.00
247,01034390,0157.00
295,01029612,0157.00
388,01034583,0157.00
428,01034437,0157.00
445,01030474,0157.00
497,01030465,0157.00
614,01030109,0157.00
639,01029663,0157.00
753,01029453,0157.00
802,01116491,0157.00
808,01030463,0157.00
943,01034356,0157.00
956,01030427,0157.00
986,01030657,0157.00
987,02166426,0157.00
77,01026631,0158.00
255,05104053,0158.00
438,01026665,0158.00
651,01027623,0158.00
702,05129370,0158.00
891,01026722,0158.00
980,01028001,0158.00
984,01027336,0158.00
104,01027628,0159.00
111,01026087,0159.00
143,01026037,0159.00
185,05149442,0159.00
188,01026229,0159.00
203,01026439,0159.00
297,05149450,0159.00
346,01027973,0159.00
411,01025754,0159.00
511,01027639,0159.00
662,01095646,0159.00
778,01026139,0159.00
804,01026004,0159.00
850,01026369,0159.00
899,01027803,0159.00
915,01026075,0159.00
917,01026480,0159.00
944,01025722,0159.00
