,borough_id,building_number,built_area,dwelling_number,firstletter_apt,geom,index,land_area,landuse_code,landuse_text,lastletter_apt,max_floors,municipality_code,nad83_registration,street_name,street_number,uid,unit_category,unit_number,year_built,Tract
3342,REM19,1410,267,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.572191037304, 45.49442807182], [-73.5721137699841, 45.4944978652991], [-73.572368796456, 45.494624054365], [-73.5724517556668, 45.4945489475104], [-73.5721960002711, 45.4944303185116], [-73.572191037304, 45.49442807182]]]}",54680,83,1000,Logement,0,1,50,9939-14-5003-0-001-0002,avenue Overdale  (MTL),1410,5003028,Condominium,0,1895,0063.00
3344,REM19,1205,204,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5804885911678, 45.4903893031087], [-73.5802863840706, 45.4905991295434], [-73.5803606195154, 45.490634354673], [-73.5805628264627, 45.4904245281084], [-73.5804885911678, 45.4903893031087]]]}",53604,198,1000,Logement,0,2,50,9838-59-1357-3-000-0000,avenue Seymour  (MTL),1205,1002560,Régulier,0,1900,0066.02
3353,REM19,7,367,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5823663473172, 45.4981485222369], [-73.5822610704766, 45.4982573997189], [-73.5823545369778, 45.4983003490589], [-73.5823567497986, 45.4982979176507], [-73.5824598137182, 45.4981914714916], [-73.5823663473172, 45.4981485222369]]]}",60521,128,1000,Logement,0,3,50,9839-38-6314-1-000-0000,place de Chelsea  (MTL),7,1003623,Régulier,0,1923,0129.01
3354,REM19,1085,0,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5643295956203, 45.503784487762], [-73.5639446486228, 45.503597248517], [-73.5637193180779, 45.5038966010916], [-73.5638589250418, 45.5039564584553], [-73.5639228969482, 45.5038698494301], [-73.5641896338625, 45.503969772046], [-73.5643295956203, 45.503784487762]]]}",59058,13,1000,Logement,0,1,50,9940-74-9430-3-001-0019,rue Saint-Alexandre  (MTL),1085,5162284,Condominium,    301,1911,0062.00
3367,REM19,1485,0,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5819232132071, 45.4976609883907], [-73.5812333704632, 45.4973442554701], [-73.5812192247683, 45.4973421059032], [-73.5811829262576, 45.4973472612665], [-73.5810465571329, 45.4974858571304], [-73.5815360648989, 45.4977151714354], [-73.5814231960135, 45.4978291829764], [-73.5816504799384, 45.4979412420699], [-73.5819232132071, 45.4976609883907]]]}",63207,75,1000,Logement,0,1,50,9839-47-3048-9-001-0091,rue Sherbrooke Ouest  (MTL+MTO+WMT),1485,5183852,Condominium,    11A,2009,0129.01
3391,REM19,1240,1447,49,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5801897817973, 45.4910134360337], [-73.5803132451103, 45.4910848938751], [-73.5806351454439, 45.490817657323], [-73.5804995567049, 45.4907532278404], [-73.5801897817973, 45.4910134360337]]]}",76723,483,1000,Logement,0,4,50,9839-50-1402-4-000-0000,rue du Fort  (MTL),1240,1037555,Régulier,0,1961,0066.02
3392,REM19,3470,168,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5806598533594, 45.5003641090052], [-73.5805809571088, 45.5003261876268], [-73.5804926401409, 45.5004172328514], [-73.5805715363313, 45.5004550642971], [-73.5806598533594, 45.5003641090052]]]}",76645,91,1000,Logement,0,2,50,9840-50-0155-7-000-0000,rue de la Montagne  (MTL),3470,1036329,Régulier,0,1925,0129.02
3394,REM19,1250,1546,46,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5805925039406, 45.4910336710573], [-73.5806862054722, 45.4909548608747], [-73.5807718960634, 45.4908826257815], [-73.5806351454439, 45.490817657323], [-73.5803132451103, 45.4910848938751], [-73.5804405108091, 45.4911585087408], [-73.5805925039406, 45.4910336710573]]]}",76725,513,1000,Logement,0,4,50,9839-50-0410-8-000-0000,rue du Fort  (MTL),1250,1037557,Régulier,0,1962,0066.02
3395,REM19,1218,662,5,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5756347435046, 45.4957098653757], [-73.5755572301797, 45.4956727495191], [-73.5752786770256, 45.4959574016368], [-73.5753561905585, 45.4959945176804], [-73.5756347435046, 45.4957098653757]]]}",76728,281,1000,Logement,0,4,50,9839-95-0248-7-000-0000,rue Bishop  (MTL),1224,1036766,Régulier,0,1885,0063.00
3398,REM19,2144,817,4,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5818559209436, 45.4901143921941], [-73.5814766202827, 45.4899398965762], [-73.5814568906506, 45.4899424304566], [-73.5813967015791, 45.4899882798998], [-73.5817884627098, 45.4901685264251], [-73.5818559209436, 45.4901143921941]]]}",79814,299,1000,Logement,0,3,50,9838-49-2006-6-000-0000,rue Tupper  (MTL+WMT),2144,1037469,Régulier,0,1962,0066.02
