index,ID_UEV,postal_code,tract,street_name,street_number
25846,1103358,H2L 4A6,144.0,rue Saint-Hubert  (MTL),3939
25856,1127653,H2J 2J9,146.0,rue Rachel Est  (MTL),1259
26095,1126018,H2L 4A3,144.0,rue Saint-Hubert  (MTL),3761
26202,1105902,H2K 4E8,48.0,rue Cartier  (MTL),2262
26218,1129798,H2L 3C7,50.0,rue Beaudry  (MTL),2141
26299,1126290,H2L 1E6,144.0,rue Saint-André  (MTL),3784
26325,1124034,H2L 2Y3,49.0,rue Plessis  (MTL),2010
26337,1110046,H2L 1L2,51.0,rue Sherbrooke Est  (MTE+MTL),908
26392,1111271,H2J 2J5,141.0,rue Boyer  (MTL),99999
26438,1125799,H2L 1R8,49.0,rue Ontario Est  (MTE+MTL),1327
26453,1126124,H2L 3G4,50.0,rue Beaudry  (MTL),2147
26463,1110049,H2K 3X4,48.0,avenue De Lorimier  (MTL),2358
26521,1129382,H2J 2J8,146.0,rue Rachel Est  (MTL),1241
26778,1106419,H2L 3V8,144.0,rue Saint-André  (MTL),3812
26868,1113006,H2L 1L2,51.0,rue Sherbrooke Est  (MTE+MTL),958
27220,1110306,H2L 2Y4,49.0,rue Plessis  (MTL),2075
27221,1110307,H2L 2Y4,49.0,rue Alexandre-DeSève  (MTL),2040
27917,1105906,H2K 4E8,48.0,rue Cartier  (MTL),2268
28011,1128997,H2K 3Z2,149.0,rue de Bordeaux  (MTL),3509
28146,1112988,H2J 3R5,147.0,rue Garnier  (MTL),4296
28651,1113786,H2L 3X4,144.0,rue Saint-André  (MTL),3708
29451,1131474,H2L 3A4,49.0,rue Panet  (MTL),2023
30037,1131523,H2J 2K1,146.0,rue Chambord  (MTL),4225
30054,1113089,H2L 3X4,144.0,rue Saint-André  (MTL),3694
30471,1113843,H2L 3A5,49.0,rue Panet  (MTL),2062
35520,1131246,H2K 4B2,48.0,rue Dorion  (MTL),2226
36281,5098783,H2K 3X5,150.0,avenue De Lorimier  (MTL),3505
38186,5177955,H2H 1S9,147.0,avenue Papineau  (MTL),4302
38335,1122388,H2L 1J1,144.0,rue Cherrier  (MTL),919
40551,5189591,H2K 1B8,149.0,rue Sherbrooke Est  (MTE+MTL),1973
42634,5268135,H2L 1E4,144.0,rue Roy Est  (MTL),807
42946,1027722,H2L 1H7,144.0,rue Cherrier  (MTL),934
43912,1123803,H2J 3M3,146.0,rue Chambord  (MTL),4293
44079,5067585,H2L 3G4,50.0,rue Beaudry  (MTL),2065
